Epoch | Train Loss | Train Accuracy | Test Accuracy
--------------------------------------------------
    1 | 2.2041     | 28.00%       | 39.00%
    2 | 1.5376     | 54.25%       | 62.00%
    3 | 1.1574     | 64.00%       | 62.00%
    4 | 0.8887     | 71.50%       | 77.00%
    5 | 0.6776     | 78.25%       | 85.00%
    6 | 0.5777     | 81.25%       | 82.00%
    7 | 0.5373     | 82.50%       | 85.00%
    8 | 0.3950     | 87.75%       | 88.00%
    9 | 0.4078     | 86.25%       | 91.00%
   10 | 0.3371     | 89.75%       | 89.00%
   11 | 0.4039     | 85.75%       | 90.00%
   12 | 0.3346     | 88.00%       | 88.00%
   13 | 0.2678     | 91.50%       | 92.00%
   14 | 0.2160     | 93.25%       | 90.00%
   15 | 0.2208     | 93.75%       | 91.00%
   16 | 0.1857     | 94.25%       | 92.00%
   17 | 0.2790     | 90.50%       | 90.00%
   18 | 0.1581     | 96.00%       | 91.00%
   19 | 0.1793     | 94.75%       | 92.00%
   20 | 0.1487     | 95.50%       | 92.00%
   21 | 0.1063     | 96.25%       | 92.00%
   22 | 0.1835     | 94.25%       | 92.00%
   23 | 0.1487     | 95.25%       | 87.00%
   24 | 0.1708     | 96.75%       | 88.00%
   25 | 0.2190     | 94.25%       | 89.00%
   26 | 0.2326     | 93.50%       | 91.00%
   27 | 0.1394     | 94.50%       | 89.00%
   28 | 0.1446     | 96.25%       | 92.00%
   29 | 0.1123     | 96.50%       | 91.00%
   30 | 0.1653     | 94.75%       | 90.00%
   31 | 0.0937     | 97.00%       | 91.00%
   32 | 0.0828     | 98.00%       | 90.00%
   33 | 0.0920     | 97.00%       | 90.00%
   34 | 0.0970     | 97.50%       | 92.00%
   35 | 0.1096     | 97.25%       | 88.00%
   36 | 0.1339     | 95.25%       | 91.00%
   37 | 0.1259     | 96.00%       | 92.00%
   38 | 0.0753     | 97.25%       | 92.00%
   39 | 0.1718     | 97.00%       | 85.00%
   40 | 0.2066     | 93.75%       | 86.00%
   41 | 0.1479     | 96.50%       | 91.00%
   42 | 0.0989     | 97.75%       | 90.00%
   43 | 0.0456     | 99.00%       | 90.00%
   44 | 0.0436     | 99.00%       | 88.00%
   45 | 0.0360     | 98.75%       | 89.00%
   46 | 0.0518     | 98.25%       | 86.00%
   47 | 0.0889     | 97.25%       | 87.00%
   48 | 0.0790     | 97.50%       | 87.00%
   49 | 0.0962     | 97.00%       | 89.00%
   50 | 0.0756     | 97.75%       | 90.00%
   51 | 0.1195     | 97.50%       | 89.00%
   52 | 0.0582     | 97.50%       | 90.00%
   53 | 0.0323     | 99.00%       | 91.00%
   54 | 0.0417     | 98.50%       | 91.00%
   55 | 0.0206     | 99.50%       | 92.00%
   56 | 0.0195     | 99.75%       | 89.00%
   57 | 0.0157     | 99.50%       | 90.00%
   58 | 0.0334     | 98.25%       | 86.00%
   59 | 0.2396     | 94.50%       | 89.00%
   60 | 0.1535     | 96.00%       | 91.00%
   61 | 0.1081     | 97.75%       | 90.00%
   62 | 0.0735     | 97.75%       | 88.00%
   63 | 0.0901     | 98.00%       | 91.00%
   64 | 0.0728     | 97.75%       | 90.00%
   65 | 0.1822     | 95.00%       | 89.00%
   66 | 0.0722     | 97.25%       | 90.00%
   67 | 0.0460     | 98.75%       | 88.00%
   68 | 0.0480     | 98.75%       | 89.00%
   69 | 0.0665     | 97.50%       | 86.00%
   70 | 0.0634     | 97.75%       | 88.00%
   71 | 0.0285     | 99.00%       | 89.00%
   72 | 0.0576     | 98.50%       | 89.00%
   73 | 0.0387     | 98.75%       | 88.00%
   74 | 0.0305     | 99.00%       | 90.00%
   75 | 0.0303     | 99.00%       | 90.00%
   76 | 0.0492     | 98.50%       | 90.00%
   77 | 0.0604     | 96.75%       | 90.00%
   78 | 0.0394     | 98.50%       | 89.00%
   79 | 0.0504     | 98.75%       | 88.00%
   80 | 0.0540     | 98.00%       | 90.00%
   81 | 0.0362     | 98.25%       | 90.00%
   82 | 0.0789     | 98.25%       | 86.00%
   83 | 0.1228     | 96.25%       | 87.00%
   84 | 0.0534     | 98.00%       | 88.00%
   85 | 0.1697     | 98.75%       | 89.00%
   86 | 0.0897     | 97.50%       | 87.00%
   87 | 0.0692     | 97.50%       | 89.00%
   88 | 0.0396     | 99.25%       | 90.00%
   89 | 0.0554     | 98.50%       | 87.00%
   90 | 0.0767     | 99.00%       | 88.00%
   91 | 0.0418     | 98.75%       | 89.00%
   92 | 0.0373     | 98.75%       | 89.00%
   93 | 0.0186     | 99.50%       | 89.00%
   94 | 0.0131     | 99.50%       | 89.00%
   95 | 0.0356     | 99.00%       | 89.00%
   96 | 0.0270     | 99.00%       | 89.00%
   97 | 0.0615     | 98.75%       | 88.00%
   98 | 0.0383     | 98.25%       | 89.00%
   99 | 0.0359     | 98.50%       | 89.00%
  100 | 0.0349     | 99.50%       | 89.00%
